,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Rumboci,BA,43.8322,17.5011,43.45,93,96,4.83,overcast clouds
349,Duldurga,RU,50.6761,113.5931,4.78,79,27,12.46,scattered clouds
350,Bangkal,PH,6.0667,121.0667,77.25,85,87,6.58,overcast clouds
351,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,100,2.3,fog
352,Pangnirtung,CA,66.1451,-65.7125,-13.0,84,100,2.3,light snow
353,Tromso,NO,69.6496,18.957,33.82,60,75,25.32,broken clouds
354,Volodarskiy,RU,46.4013,48.5409,33.75,71,86,8.5,overcast clouds
355,San Policarpo,PH,12.1791,125.5072,78.98,87,100,6.11,overcast clouds
356,Guerrero Negro,MX,27.9769,-114.0611,63.19,68,0,12.62,clear sky
357,Isiro,CD,2.7739,27.616,72.61,50,89,1.34,overcast clouds
358,Stokmarknes,NO,68.5646,14.9108,39.16,81,75,14.97,broken clouds
359,Omboue,GA,-1.5746,9.2618,80.49,80,93,5.44,overcast clouds
360,Fasa,IR,28.9383,53.6482,43.84,76,0,0.0,clear sky
361,Sechura,PE,-5.5569,-80.8222,81.09,55,65,10.16,broken clouds
362,Kurumkan,RU,54.3,110.3,-8.23,92,26,4.9,scattered clouds
363,Ponta Delgada,PT,37.7333,-25.6667,61.52,88,40,18.41,light rain
364,Esperance,AU,-33.8667,121.9,69.48,61,0,22.57,clear sky
365,Lima,PE,-12.0432,-77.0282,71.85,73,20,16.11,few clouds
366,Santarem,BR,-2.4431,-54.7083,86.13,74,40,6.91,scattered clouds
367,Aqtobe,KZ,50.2797,57.2072,21.29,93,100,4.47,overcast clouds
368,Jertih,MY,5.7336,102.4897,72.52,87,100,3.02,overcast clouds
369,Bell Ville,AR,-32.6259,-62.6887,98.8,17,0,10.0,light rain
370,Ketchikan,US,55.3422,-131.6461,40.98,93,100,0.0,overcast clouds
371,Wiwili,NI,13.6268,-85.8254,76.17,73,79,3.98,broken clouds
372,Mahina,PF,-17.5065,-149.489,80.37,69,20,5.75,light rain
373,Huarmey,PE,-10.0681,-78.1522,75.06,73,95,12.84,overcast clouds
374,Coquimbo,CL,-29.9533,-71.3436,67.73,68,100,9.22,overcast clouds
375,Sohbatpur,PK,28.5202,68.5434,59.74,45,13,6.93,few clouds
376,Santa Maria,BR,-29.6842,-53.8069,90.7,27,20,4.61,few clouds
377,Buchanan,LR,5.8808,-10.0467,82.9,69,81,11.65,broken clouds
378,Canavieiras,BR,-15.675,-38.9472,84.42,58,72,8.1,broken clouds
379,Matadi,CD,-5.8167,13.45,79.03,89,100,3.85,moderate rain
380,Nurota,UZ,40.5614,65.6886,38.77,53,100,7.83,overcast clouds
381,Camana,PE,-16.6228,-72.7111,71.87,81,100,8.72,overcast clouds
382,Coihaique,CL,-45.5752,-72.0662,61.41,63,75,4.61,broken clouds
383,Aktyubinskiy,RU,54.8137,52.8056,2.5,99,72,4.36,broken clouds
384,Trelew,AR,-43.249,-65.3051,79.07,21,0,21.85,clear sky
385,Byron Bay,AU,-28.65,153.6167,66.94,87,47,7.54,scattered clouds
386,Muisne,EC,0.6,-80.0333,78.87,78,93,6.42,overcast clouds
387,Cayenne,GF,4.9333,-52.3333,84.24,70,75,10.36,broken clouds
388,Kangaatsiaq,GL,68.3065,-53.4641,13.82,75,100,12.33,light snow
389,Ritchie,ZA,-29.038,24.6028,86.45,20,7,5.32,clear sky
390,Akyab,MM,20.15,92.9,66.7,59,9,11.16,clear sky
391,Marawi,PH,7.9986,124.2928,67.6,95,83,2.17,broken clouds
392,Gaillac,FR,43.9016,1.8969,59.95,86,96,4.54,overcast clouds
393,Zhangjiakou,CN,40.81,114.8794,15.01,43,0,3.56,clear sky
394,Dwarka,IN,22.2394,68.9678,72.48,63,0,8.99,clear sky
395,Hondo,JP,32.45,130.2,46.94,60,28,6.29,scattered clouds
396,Luganville,VU,-15.5333,167.1667,77.76,87,100,4.18,overcast clouds
397,Cabedelo,BR,-6.9811,-34.8339,81.27,68,69,13.91,broken clouds
398,Poum,NC,-20.2333,164.0167,80.06,81,8,14.65,clear sky
399,Assiniboia,CA,49.6334,-105.9845,15.62,79,63,6.91,broken clouds
400,Vinh Long,VN,10.25,105.9667,73.38,89,100,3.71,overcast clouds
401,Novyy Urengoy,RU,66.0833,76.6333,-17.52,99,57,7.47,broken clouds
402,Baker City,US,44.7749,-117.8344,36.64,90,100,0.0,overcast clouds
403,Tepusteca,HN,15.4167,-86.3167,82.67,42,3,1.03,clear sky
404,Pemba,MZ,-12.974,40.5178,83.1,78,75,8.03,broken clouds
405,Pacific Grove,US,36.6177,-121.9166,60.42,93,100,13.0,overcast clouds
406,Ouadda,CF,8.0777,22.4007,76.96,26,3,3.49,clear sky
407,Bridgewater,CA,44.3835,-64.5155,41.72,97,14,4.61,few clouds
408,San Vicente,AR,-26.6167,-54.1333,91.78,14,0,1.97,clear sky
409,Aksarka,RU,66.5606,67.7975,-26.48,100,68,4.25,broken clouds
410,Jiayuguan,CN,39.8167,98.3,15.64,50,0,5.73,clear sky
411,Nantucket,US,41.2835,-70.0995,57.34,76,0,10.36,clear sky
412,Veraval,IN,20.9,70.3667,72.09,63,0,11.54,clear sky
413,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,96.49,25,0,4.81,clear sky
414,Barra Patuca,HN,15.8,-84.2833,79.07,80,3,6.67,light rain
415,Port Lincoln,AU,-34.7333,135.8667,58.86,78,0,12.03,clear sky
416,Fangshan,CN,39.6983,115.9925,27.54,26,0,2.46,clear sky
417,Sitka,US,57.0531,-135.33,39.09,100,100,3.44,mist
418,Boddam,GB,57.4667,-1.7833,44.98,76,98,27.2,overcast clouds
419,Sussex,US,41.1834,-74.6663,56.32,52,100,5.75,overcast clouds
420,Ulaanbaatar,MN,47.9077,106.8832,-21.87,76,20,0.0,few clouds
421,Tahoua,NE,14.8888,5.2692,78.78,9,2,9.22,clear sky
422,Aldama,MX,22.9167,-98.0667,73.36,62,97,1.61,overcast clouds
423,Nicoya,CR,10.1483,-85.452,86.22,56,9,7.14,clear sky
424,Juchitlan,MX,20.0833,-104.1167,67.5,44,86,2.28,overcast clouds
425,Calbuco,CL,-41.768,-73.1273,69.01,63,19,7.2,few clouds
426,Hibbing,US,47.4272,-92.9377,15.15,79,100,5.75,overcast clouds
427,Bracebridge,CA,45.0334,-79.3163,45.34,100,100,6.91,moderate rain
428,Cunday,CO,4.06,-74.6921,84.78,62,75,4.36,broken clouds
429,Nyagan,RU,62.1406,65.3936,-25.82,100,100,2.3,overcast clouds
430,Pochutla,MX,15.7432,-96.4661,84.81,43,100,6.93,overcast clouds
431,Paita,PE,-5.0892,-81.1144,76.5,65,23,11.54,few clouds
432,Baykit,RU,61.67,96.37,-30.91,99,19,1.83,few clouds
433,Kununurra,AU,-15.7667,128.7333,78.78,89,100,10.36,overcast clouds
434,Kuito,AO,-12.3833,16.9333,64.4,88,62,5.03,light rain
435,Haines Junction,CA,60.7522,-137.5108,-4.05,77,100,0.0,overcast clouds
436,Bonavista,CA,48.6499,-53.1147,27.1,67,87,8.43,overcast clouds
437,Sorong,ID,-0.8833,131.25,76.84,86,100,6.02,light rain
438,Porto Seguro,BR,-16.4497,-39.0647,84.72,70,75,12.66,broken clouds
439,Tulum,MX,20.2167,-87.4667,81.57,70,11,9.95,light rain
440,Panama City,PA,8.9936,-79.5197,89.55,59,40,10.36,scattered clouds
441,Krasnoselkup,RU,65.7,82.4667,-15.36,86,9,9.89,clear sky
442,Atbasar,KZ,51.8,68.3333,19.81,96,100,6.76,light snow
443,Kailua,US,21.4022,-157.7394,72.45,89,43,1.99,scattered clouds
444,Calamar,CO,10.2511,-74.9146,90.95,41,3,7.0,clear sky
445,Hami,CN,42.8,93.45,18.27,50,22,3.33,few clouds
446,Dakar,SN,14.6937,-17.4441,81.48,57,0,2.3,clear sky
447,Acajutla,SV,13.5928,-89.8275,83.7,57,66,6.24,broken clouds
448,Kudahuvadhoo,MV,2.6708,72.8944,81.93,70,8,13.51,clear sky
449,Blackwater,AU,-23.5833,148.8833,73.65,81,91,9.91,overcast clouds
450,Derzhavinsk,KZ,51.1,66.3167,27.32,97,100,8.21,light snow
451,Yabelo,ET,4.8833,38.0833,66.65,30,10,19.19,clear sky
452,Seymchan,RU,62.8833,152.4333,-27.44,96,100,0.34,overcast clouds
453,Mehamn,NO,71.0357,27.8492,24.75,80,97,33.38,overcast clouds
454,Zeya,RU,53.75,127.2667,-17.01,99,88,3.24,overcast clouds
455,Labuhan,ID,-6.8844,112.2051,76.75,90,95,12.08,moderate rain
456,Namatanai,PG,-3.6667,152.4333,78.78,82,100,3.74,overcast clouds
457,Broome,US,42.2506,-75.833,50.77,73,100,1.01,overcast clouds
458,Le Port,RE,-20.9373,55.2919,78.8,88,19,3.49,light rain
459,Gorontalo,ID,0.5412,123.0595,75.52,94,96,4.32,light rain
460,San Matias,BO,-16.3667,-58.4,85.53,71,61,3.96,broken clouds
461,Auki,SB,-8.7676,160.7034,78.46,85,100,4.38,overcast clouds
462,Belchertown,US,42.277,-72.4009,58.75,48,75,5.75,broken clouds
463,Batemans Bay,AU,-35.7167,150.1833,64.09,97,35,2.91,light rain
464,Tondano,ID,1.3038,124.9112,69.89,91,98,3.76,overcast clouds
465,Khandyga,RU,62.6667,135.6,-17.91,99,100,2.17,overcast clouds
466,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,55,0,6.91,clear sky
467,Samfya,ZM,-11.3649,29.5565,63.91,95,100,4.81,light rain
468,Yerky,UA,48.9906,30.9882,35.04,79,16,6.73,few clouds
469,Tazovskiy,RU,67.4667,78.7,-20.6,98,26,7.25,scattered clouds
470,Tyulyachi,RU,55.8913,50.2399,-1.35,100,98,5.06,overcast clouds
471,Yarkovo,RU,57.4028,67.0786,-14.69,100,75,4.05,broken clouds
472,Gotsu,JP,35.0,132.2167,43.27,67,100,8.05,overcast clouds
473,Galveston,US,29.3669,-94.9669,70.0,87,100,11.5,overcast clouds
474,Farah,AF,32.5,62.5,44.06,42,0,1.95,clear sky
475,Turochak,RU,52.2576,87.1224,18.84,97,100,1.03,light snow
476,Inhambane,MZ,-23.865,35.3833,80.58,78,40,13.8,scattered clouds
477,Broken Hill,AU,-31.95,141.4333,76.06,36,3,17.45,clear sky
478,Udachnyy,RU,66.4167,112.4,-4.56,76,100,20.96,overcast clouds
479,Atherton,GB,53.5237,-2.4935,50.29,80,100,5.01,overcast clouds
480,Sakakah,SA,29.9697,40.2064,54.97,57,17,14.85,few clouds
481,Khasan,RU,42.4308,130.6434,17.58,70,1,5.17,clear sky
482,Sokoni,TZ,-6.4333,39.55,82.26,75,97,11.77,overcast clouds
483,Rodrigues Alves,BR,-7.738,-72.6509,80.8,48,98,3.42,overcast clouds
484,Altamira,BR,-3.2033,-52.2064,84.29,84,75,3.44,thunderstorm
485,Bambanglipuro,ID,-7.95,110.2833,75.88,88,96,4.34,overcast clouds
486,Anadyr,RU,64.75,177.4833,-17.9,76,75,13.42,broken clouds
487,Jiazi,CN,22.8779,116.067,56.19,80,66,11.86,broken clouds
488,Abu Zabad,SD,12.35,29.25,73.24,25,1,9.73,clear sky
489,Ampanihy,MG,-24.7,44.75,79.05,63,15,8.57,few clouds
490,Sept-Iles,CA,50.2001,-66.3821,26.6,93,100,5.75,mist
491,Vao,NC,-22.6667,167.4833,76.77,85,89,12.37,overcast clouds
492,Tual,ID,-5.6667,132.75,84.06,73,91,18.54,overcast clouds
493,Killybegs,IE,54.6333,-8.45,46.11,75,90,17.29,overcast clouds
494,Pamekasan,ID,-7.1568,113.4746,76.66,89,73,14.29,light rain
495,Maragogi,BR,-9.0122,-35.2225,83.28,63,18,11.25,few clouds
496,Grand-Lahou,CI,5.1367,-5.0242,83.07,71,77,10.25,broken clouds
497,Yalutorovsk,RU,56.6536,66.3006,-12.17,100,96,4.76,overcast clouds
498,Mweka,CD,-4.85,21.5667,74.26,74,99,0.56,overcast clouds
499,Morros,BR,-9.4467,-46.3003,84.07,58,97,3.27,overcast clouds
500,Sarangani,PH,5.4033,125.4636,81.99,76,74,10.31,broken clouds
501,Touros,BR,-5.1989,-35.4608,85.53,56,90,16.51,overcast clouds
502,Ballina,AU,-28.8667,153.5667,67.01,99,28,7.07,scattered clouds
503,Sarmanovo,RU,55.2553,52.5891,12.88,99,64,3.58,broken clouds
504,Alofi,NU,-19.0595,-169.9187,73.29,100,75,4.61,light rain
505,Effingham,US,32.3669,-81.3332,71.55,80,80,5.03,broken clouds
506,Tire,TR,38.0888,27.7351,48.94,74,15,0.92,few clouds
507,Acapulco,MX,16.8634,-99.8901,80.42,74,75,4.61,broken clouds
508,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,few clouds
509,Marzuq,YE,14.4,46.4667,63.41,53,14,1.03,few clouds
510,Pena,PH,12.089,123.9384,76.12,89,100,6.2,overcast clouds
511,Belmonte,BR,-15.8631,-38.8828,82.58,63,68,8.28,broken clouds
512,Sarankhola,BD,22.3082,89.7897,59.25,49,6,2.17,clear sky
513,Alice Springs,AU,-23.7,133.8833,80.15,57,95,5.75,overcast clouds
514,Xinqing,CN,48.2333,129.5,-10.71,100,48,1.95,scattered clouds
515,Sao Francisco De Assis,BR,-29.5503,-55.1311,95.76,14,0,2.8,clear sky
516,Shakawe,BW,-18.3667,21.85,76.08,49,54,4.16,broken clouds
517,Kondinskoye,RU,59.6481,67.41,-14.67,100,82,5.53,broken clouds
518,Kalmunai,LK,7.4167,81.8167,76.32,76,94,7.58,overcast clouds
519,La Palma,US,33.8464,-118.0467,59.81,95,100,4.61,mist
520,Southbridge,US,42.0751,-72.0334,59.11,54,15,8.32,few clouds
521,Lebu,CL,-37.6167,-73.65,64.2,64,0,23.58,clear sky
522,Taltal,CL,-25.4,-70.4833,69.33,67,4,6.49,clear sky
523,Hovd,MN,48.0056,91.6419,0.68,83,45,2.35,scattered clouds
524,Biak,ID,-0.9131,122.8766,76.73,80,97,3.85,overcast clouds
525,Shelburne,CA,44.0787,-80.2041,50.45,99,100,14.99,overcast clouds
526,Meulaboh,ID,4.1363,96.1285,76.95,85,100,3.04,overcast clouds
527,Jieshi,CN,22.8134,115.8257,55.18,72,67,10.16,broken clouds
528,Yumen,CN,40.2833,97.2,15.15,54,0,15.97,clear sky
529,Wenzhou,CN,27.9994,120.6668,45.1,81,41,4.29,scattered clouds
530,Richards Bay,ZA,-28.783,32.0377,67.51,76,100,7.87,overcast clouds
531,Paragominas,BR,-2.9667,-47.4833,81.41,80,93,3.78,overcast clouds
532,Guapo,BR,-16.8306,-49.5319,77.38,68,85,6.13,overcast clouds
533,Vila Velha,BR,-20.3297,-40.2925,87.75,71,20,16.11,few clouds
534,Zaysan,KZ,47.4667,84.8667,15.55,95,100,1.86,overcast clouds
535,Wakkanai,JP,45.4094,141.6739,29.73,65,100,18.37,overcast clouds
536,Makokou,GA,0.5738,12.8642,77.38,45,41,2.8,scattered clouds
537,Kupang,ID,-10.1667,123.5833,82.98,83,40,16.11,scattered clouds
538,Cervo,ES,43.6702,-7.4101,62.17,79,100,18.23,overcast clouds
539,Colorado Springs,US,38.8339,-104.8214,42.35,45,0,5.75,clear sky
540,Adelanto,US,34.5828,-117.4092,55.02,79,95,13.24,overcast clouds
541,Mareeba,AU,-17.0,145.4333,70.45,97,100,1.23,light rain
542,Tilichiki,RU,60.4667,166.1,-19.55,95,80,11.79,broken clouds
543,Murray Bridge,AU,-35.1167,139.2667,60.12,87,0,4.85,clear sky
544,Syracuse,IT,37.0881,15.2792,58.59,69,12,7.76,few clouds
545,Borsad,IN,22.4167,72.9,66.6,45,0,8.7,clear sky
546,Carolina,PR,18.3808,-65.9574,82.53,84,40,23.02,scattered clouds
547,Roma,US,43.2128,-75.4557,56.88,76,100,6.91,overcast clouds
548,Matamoros,MX,25.5333,-103.25,67.1,34,75,0.0,broken clouds
549,Talnakh,RU,69.4865,88.3972,-20.18,96,37,6.58,scattered clouds
550,San Jose,US,37.3394,-121.895,61.25,88,100,12.66,overcast clouds
551,Xam Nua,LA,20.4197,104.0439,46.4,99,75,1.88,broken clouds
552,Manjakandriana,MG,-18.9167,47.8,64.09,98,53,3.96,broken clouds
553,Arsk,RU,56.0915,49.8778,-0.04,100,98,6.02,overcast clouds
554,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,23.02,light rain
555,Brazzaville,CG,-4.2658,15.2832,78.89,75,99,2.13,overcast clouds
556,Bushehr,IR,28.9684,50.8385,60.89,63,0,0.0,clear sky
557,Port Hedland,AU,-20.3167,118.5667,84.25,79,100,9.22,overcast clouds
558,Ust-Maya,RU,60.4167,134.5333,-17.66,96,100,6.33,overcast clouds
