,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Iqaluit,CA,63.7506,-68.5145,-18.67,76,40,12.66,scattered clouds
69,Salalah,OM,17.0151,54.0924,78.89,34,0,16.11,clear sky
70,Gladstone,AU,-23.85,151.25,75.13,78,40,8.05,scattered clouds
71,Sisimiut,GL,66.9395,-53.6735,2.37,83,38,9.89,scattered clouds
72,Butaritari,KI,3.0707,172.7902,80.37,78,92,13.0,overcast clouds
73,Upata,VE,8.0086,-62.3989,83.19,58,90,5.46,overcast clouds
74,Portland,US,45.5234,-122.6762,53.35,90,100,14.0,overcast clouds
75,Yeppoon,AU,-23.1333,150.7333,76.78,81,82,18.97,broken clouds
76,Fortuna,US,40.5982,-124.1573,55.74,96,100,8.01,light rain
77,Verkhoyansk,RU,67.5447,133.385,-40.16,100,94,1.34,overcast clouds
78,North Bend,US,43.4065,-124.2243,53.51,94,100,0.0,mist
79,Pundaguitan,PH,6.3711,126.1689,81.32,78,87,8.14,overcast clouds
80,Cherskiy,RU,68.75,161.3,-45.81,100,68,3.11,broken clouds
81,Camacha,PT,33.0833,-16.3333,65.62,88,20,10.36,few clouds
82,Ngaoundere,CM,7.3167,13.5833,73.96,24,43,5.73,scattered clouds
83,Kahului,US,20.8947,-156.47,74.84,82,20,4.61,few clouds
84,Lasa,IT,46.6166,10.7002,39.02,98,99,3.62,overcast clouds
85,Aranos,NA,-24.1333,19.1167,87.78,26,73,3.58,broken clouds
86,Jumla,NP,29.2747,82.1838,33.57,90,50,3.06,scattered clouds
87,Dunedin,NZ,-45.8742,170.5036,47.8,90,63,3.24,broken clouds
88,Hobart,AU,-42.8794,147.3294,60.66,96,100,0.0,overcast clouds
89,Carnarvon,AU,-24.8667,113.6333,74.59,69,0,23.55,clear sky
90,Dikson,RU,73.5069,80.5464,-9.8,93,100,22.73,overcast clouds
91,Brae,GB,60.3964,-1.353,39.6,97,100,16.55,moderate rain
92,Sabalgarh,IN,26.25,77.4,59.56,50,0,6.26,clear sky
93,Luderitz,NA,-26.6481,15.1594,80.69,43,0,24.65,clear sky
94,Pueblo Nuevo,MX,23.3833,-105.3833,55.09,56,93,5.55,overcast clouds
95,Acarau,BR,-2.8856,-40.12,85.69,62,43,14.83,scattered clouds
96,Port Blair,IN,11.6667,92.75,73.44,88,40,2.3,mist
97,Punta Arenas,CL,-53.15,-70.9167,55.51,47,40,46.04,scattered clouds
98,Chuy,UY,-33.6971,-53.4616,87.42,29,0,6.08,clear sky
99,Yellowknife,CA,62.456,-114.3525,8.56,84,100,8.99,overcast clouds
100,Moerai,PF,-22.4333,-151.3333,77.18,73,99,9.78,overcast clouds
101,Banjar,ID,-8.19,114.9675,78.28,89,100,6.35,light rain
102,Kruisfontein,ZA,-34.0033,24.7314,65.88,59,87,17.67,overcast clouds
103,Hermanus,ZA,-34.4187,19.2345,70.81,60,0,20.15,clear sky
104,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,52,7,13.49,clear sky
105,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,36,5.01,scattered clouds
106,Sembe,CG,1.6481,14.5806,81.43,34,82,0.56,broken clouds
107,Cabo San Lucas,MX,22.8909,-109.9124,76.51,64,20,6.91,few clouds
108,Georgetown,MY,5.4112,100.3354,80.53,84,20,4.61,few clouds
109,Teya,RU,60.3778,92.6267,-22.86,99,100,2.46,overcast clouds
110,Mpika,ZM,-11.8343,31.4529,60.85,98,100,0.22,moderate rain
111,Esna,EG,25.2934,32.554,62.46,26,0,8.25,clear sky
112,Qaanaaq,GL,77.484,-69.3632,-23.4,69,11,7.25,few clouds
113,Moba,CN,33.2288,105.0179,26.58,81,88,0.67,overcast clouds
114,Nishihara,JP,26.1842,127.7558,60.46,94,100,18.41,overcast clouds
115,Mashhad,IR,36.297,59.6062,35.74,87,100,9.22,overcast clouds
116,Tessalit,ML,20.1986,1.0114,74.8,10,100,10.67,overcast clouds
117,Noumea,NC,-22.2763,166.4572,80.01,99,77,6.87,broken clouds
118,Tasiilaq,GL,65.6145,-37.6368,5.16,59,0,3.78,clear sky
119,Turukhansk,RU,65.8167,87.9833,-18.13,84,12,7.25,few clouds
120,Pisco,PE,-13.7,-76.2167,77.05,69,20,11.5,few clouds
121,Ilulissat,GL,69.2167,-51.1,-7.67,99,87,6.11,overcast clouds
122,Sibolga,ID,1.7427,98.7792,74.57,90,100,1.74,overcast clouds
123,Sagua La Grande,CU,22.8067,-80.0756,83.39,57,61,12.24,light rain
124,Aksu,CN,41.1231,80.2644,20.89,52,30,3.78,scattered clouds
125,Thompson,CA,55.7435,-97.8558,5.16,85,100,0.0,light snow
126,Torbay,CA,47.6666,-52.7314,28.58,77,75,10.36,broken clouds
127,Abha,SA,18.2164,42.5053,55.22,76,0,0.0,clear sky
128,Ferkessedougou,CI,9.6,-5.2,92.88,9,18,8.55,few clouds
129,Vrable,SK,48.2437,18.3085,44.69,92,55,5.5,broken clouds
130,Samos,GR,37.7572,26.9769,56.97,83,20,3.44,few clouds
131,Fort Nelson,CA,58.8053,-122.7002,-6.05,88,100,3.44,light snow
132,Port Hardy,CA,50.6996,-127.4199,42.98,93,75,23.02,light intensity shower rain
133,Lompoc,US,34.6391,-120.4579,59.52,96,100,3.44,mist
134,Ocara,BR,-4.4908,-38.5967,96.28,29,12,7.61,few clouds
135,Souillac,MU,-20.5167,57.5167,77.38,73,20,0.0,few clouds
136,Snezhnogorsk,RU,69.1933,33.2531,6.19,97,70,9.13,broken clouds
137,Severo-Kurilsk,RU,50.6789,156.125,24.12,78,100,21.23,light snow
138,Provideniya,RU,64.3833,-173.3,-3.08,81,100,11.01,overcast clouds
139,Bamako,ML,12.65,-8.0,88.21,14,0,9.22,clear sky
140,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,99.45,22,75,7.87,broken clouds
141,Airai,TL,-8.9266,125.4092,61.68,95,100,8.05,overcast clouds
142,Bolu,TR,40.6667,31.5833,38.77,77,7,4.23,clear sky
143,Victoria,HK,22.2855,114.1577,59.25,68,86,13.0,overcast clouds
144,Bumba,CD,2.1833,22.4667,79.3,46,85,1.23,overcast clouds
145,Ucluelet,CA,48.9329,-125.5528,48.09,93,100,1.01,light rain
146,Hamilton,US,39.1834,-84.5333,62.69,56,75,9.22,broken clouds
147,Upernavik,GL,72.7868,-56.1549,-8.21,91,100,3.49,overcast clouds
148,Andenes,NO,69.3143,16.1194,37.38,70,20,27.63,few clouds
149,Kifri,IQ,34.6959,44.9661,53.65,53,0,5.99,clear sky
150,Bengkulu,ID,-3.8004,102.2655,75.16,86,100,10.83,light rain
151,Vilyuysk,RU,63.7553,121.6247,-5.87,97,100,6.96,overcast clouds
152,Faya,SA,18.3851,42.4509,55.51,60,64,3.65,broken clouds
153,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,100,10.36,overcast clouds
154,Deputatskiy,RU,69.3,139.9,-37.53,97,32,5.93,scattered clouds
155,Rocha,UY,-34.4833,-54.3333,98.02,14,1,3.98,clear sky
156,Mayumba,GA,-3.432,10.6554,79.75,81,76,4.12,light rain
157,Laela,TZ,-8.5667,32.05,61.21,94,100,1.14,light rain
158,Belyy Yar,RU,53.6039,91.3903,-9.51,90,40,2.24,mist
159,Pavilosta,LV,56.8879,21.1859,42.71,86,97,14.9,overcast clouds
160,La Rioja,ES,42.25,-2.5,44.38,82,99,3.27,overcast clouds
161,Hasaki,JP,35.7333,140.8333,28.8,45,3,6.6,clear sky
162,Bethel,US,41.3712,-73.414,57.43,38,15,1.01,few clouds
163,Bastia,FR,42.6667,9.3333,62.4,75,100,3.44,overcast clouds
164,Port Elizabeth,ZA,-33.918,25.5701,68.31,64,20,16.11,few clouds
165,Kamenka,RU,51.3223,42.7678,33.35,97,100,10.0,overcast clouds
166,San Cristobal,VE,7.7669,-72.225,73.58,42,53,5.66,broken clouds
167,Nizhnevartovsk,RU,60.9344,76.5531,-29.18,68,20,2.24,few clouds
168,Chokurdakh,RU,70.6333,147.9167,-41.93,100,71,4.76,broken clouds
169,Staryy Nadym,RU,65.6118,72.6842,-24.05,99,11,4.79,few clouds
170,Beloha,MG,-25.1667,45.05,77.07,76,0,9.84,clear sky
171,Wattegama,LK,6.7989,81.4808,69.91,87,75,4.45,broken clouds
172,Hokitika,NZ,-42.7167,170.9667,58.19,59,51,6.06,broken clouds
173,Ribeira Grande,PT,38.5167,-28.7,57.6,82,75,21.85,light rain
174,Castro,BR,-24.7911,-50.0119,75.58,58,71,1.72,broken clouds
175,Djibo,BF,14.1022,-1.6306,82.33,13,38,12.77,scattered clouds
176,Ullapool,GB,57.8987,-5.1604,43.36,91,100,20.87,overcast clouds
177,Kontagora,NG,10.3999,5.4695,83.03,10,2,4.25,clear sky
178,Srednekolymsk,RU,67.45,153.6833,-39.01,99,98,1.97,overcast clouds
179,Barinitas,VE,8.7622,-70.4111,83.68,36,20,5.17,few clouds
180,Tuatapere,NZ,-46.1333,167.6833,43.57,93,18,3.33,few clouds
181,Moyale,KE,3.5167,39.0584,74.25,34,48,14.58,scattered clouds
182,Eenhana,NA,-17.4667,16.3333,82.35,43,80,5.91,light rain
183,Matara,LK,5.9485,80.5353,73.71,80,99,9.48,overcast clouds
184,Graaff-Reinet,ZA,-32.2522,24.5308,69.93,54,62,18.79,broken clouds
185,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,2.3,broken clouds
186,Mecca,SA,21.4267,39.8261,68.54,81,99,4.29,overcast clouds
187,Ixtapa,MX,20.7,-105.2,76.23,53,75,2.3,broken clouds
188,Arcachon,FR,44.5875,-1.0519,61.12,94,0,3.44,clear sky
189,Christchurch,NZ,-43.5333,172.6333,45.95,83,14,1.1,few clouds
190,Santiago De Las Vegas,CU,22.97,-82.3869,83.82,61,20,9.22,few clouds
191,Gizo,SB,-8.103,156.8419,81.59,74,100,9.51,overcast clouds
192,Sorland,NO,67.667,12.6934,41.09,66,85,25.77,overcast clouds
193,Qaqortoq,GL,60.7167,-46.0333,0.34,76,0,4.34,clear sky
194,Ahipara,NZ,-35.1667,173.1667,60.08,91,25,3.58,scattered clouds
195,Tocopilla,CL,-22.092,-70.1979,72.79,60,88,7.38,overcast clouds
196,Nelson Bay,AU,-32.7167,152.15,70.0,95,29,4.0,scattered clouds
197,Kharitonovo,RU,61.4009,47.4978,7.57,97,94,5.28,overcast clouds
198,Okha,RU,53.5739,142.9478,-9.35,99,40,7.94,scattered clouds
199,Leningradskiy,RU,69.3833,178.4167,-18.49,94,100,11.14,overcast clouds
200,Onega,RU,63.9061,38.1404,4.6,92,74,13.13,broken clouds
201,Lahaina,US,20.8783,-156.6825,74.8,75,42,7.14,scattered clouds
202,Price,US,39.5994,-110.8107,28.11,93,100,0.0,mist
203,Gamba,GA,-2.65,10.0,78.94,83,50,3.6,light rain
204,Kendari,ID,-3.945,122.4989,75.87,91,100,2.64,overcast clouds
205,Faanui,PF,-16.4833,-151.75,80.02,77,34,13.31,light rain
206,Manoharpur,IN,27.3,75.95,54.46,34,0,6.08,clear sky
207,Bilibino,RU,68.0546,166.4372,-33.34,99,19,3.53,few clouds
208,Bilecik,TR,40.0,30.1667,38.05,60,8,5.99,clear sky
209,La Curva,PH,12.4048,121.0459,76.33,83,57,7.54,broken clouds
210,Sembakung,ID,3.8167,117.25,73.85,96,100,0.31,overcast clouds
211,Katobu,ID,-4.9408,122.5276,77.59,82,100,9.15,heavy intensity rain
212,Klaksvik,FO,62.2266,-6.589,31.12,66,100,31.14,overcast clouds
213,Tukrah,LY,32.5341,20.5791,60.48,69,100,7.56,overcast clouds
214,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,100,10.36,mist
215,Mahebourg,MU,-20.4081,57.7,77.29,73,20,0.0,few clouds
216,Valparaiso,CL,-33.0393,-71.6273,65.84,82,100,12.66,overcast clouds
217,Nanakuli,US,21.3906,-158.1547,72.43,73,40,4.61,scattered clouds
218,Egvekinot,RU,66.3167,-179.1667,-12.86,86,100,11.16,overcast clouds
219,Tucupita,VE,9.0622,-62.051,85.55,61,52,6.11,broken clouds
220,Koumac,NC,-20.5667,164.2833,78.22,85,11,8.57,few clouds
221,Kuching,MY,1.55,110.3333,77.22,85,20,3.44,few clouds
222,Huhi,MX,20.7167,-89.1667,86.77,47,37,10.04,scattered clouds
223,Muros,ES,42.7762,-9.0603,64.09,80,100,27.72,overcast clouds
224,Basay,PH,9.4087,122.64,77.99,85,100,2.82,overcast clouds
225,Tel Aviv-Yafo,IL,32.0805,34.7805,59.18,56,0,5.75,clear sky
226,Chitaga,CO,7.1378,-72.6646,68.14,52,27,3.42,scattered clouds
227,Kabalo,CD,-6.05,26.9167,68.36,98,100,4.09,overcast clouds
228,Longyearbyen,SJ,78.2186,15.6401,22.84,63,20,14.97,few clouds
229,Imbituba,BR,-28.24,-48.6703,78.28,64,0,16.91,clear sky
230,Kem,RU,64.9555,34.5793,13.69,92,100,14.14,overcast clouds
231,Anamur,TR,36.0751,32.8369,58.23,56,0,8.86,clear sky
232,Kavaratti,IN,10.5669,72.642,81.81,68,45,4.5,scattered clouds
233,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,23,0,13.8,clear sky
234,Caravelas,BR,-17.7125,-39.2481,84.87,56,38,9.78,scattered clouds
235,Kavieng,PG,-2.5744,150.7967,80.64,74,100,2.77,overcast clouds
236,Eydhafushi,MV,5.1033,73.0708,80.96,76,9,18.19,clear sky
237,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,86,100,19.13,light rain
238,Sambava,MG,-14.2667,50.1667,77.05,81,88,6.2,overcast clouds
239,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,11.5,few clouds
240,Weligama,LK,5.9667,80.4167,73.78,80,100,8.52,overcast clouds
241,Kodiak,US,57.79,-152.4072,33.31,75,0,5.75,clear sky
242,Brandon,US,27.9378,-82.2859,78.1,72,0,6.91,clear sky
243,Ola,RU,59.5833,151.2833,-11.31,87,39,9.31,scattered clouds
244,Lagoa,PT,39.05,-27.9833,56.89,71,100,34.05,light rain
245,Havoysund,NO,70.9963,24.6622,26.83,73,100,26.93,overcast clouds
246,Asyut,EG,27.181,31.1837,60.98,55,0,9.13,clear sky
247,Husavik,IS,66.0449,-17.3389,20.25,74,100,19.86,light snow
248,Orlik,RU,52.5178,99.825,-12.33,98,97,1.99,overcast clouds
249,Takoradi,GH,4.8845,-1.7554,82.49,68,16,10.11,few clouds
250,Naze,JP,28.3667,129.4833,54.52,77,100,14.74,overcast clouds
251,Tautira,PF,-17.7333,-149.15,79.45,78,38,12.66,light rain
252,Quatre Cocos,MU,-20.2078,57.7625,77.11,67,37,5.28,scattered clouds
253,Pafos,CY,34.7667,32.4167,56.98,67,20,5.75,few clouds
254,Sao Filipe,CV,14.8961,-24.4956,72.79,64,0,8.46,clear sky
255,Hofn,IS,64.2539,-15.2082,14.02,52,0,12.66,clear sky
256,Suntar,RU,62.1444,117.6319,-7.98,97,100,8.39,light snow
257,Suez,EG,29.9737,32.5263,60.35,57,0,8.59,clear sky
258,Prestea,GH,5.4327,-2.1428,91.96,36,10,4.97,clear sky
259,Saskylakh,RU,71.9167,114.0833,-0.76,83,97,24.94,overcast clouds
260,Chunhuhub,MX,19.55,-88.6833,85.33,53,33,7.09,scattered clouds
261,Ndola,ZM,-12.9587,28.6366,61.65,99,100,4.61,light rain
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,91,100,7.47,overcast clouds
263,Grindavik,IS,63.8424,-22.4338,14.47,79,0,5.75,clear sky
264,Pevek,RU,69.7008,170.3133,-35.86,100,52,2.62,broken clouds
265,Buin,CL,-33.7333,-70.75,87.42,24,0,11.43,clear sky
266,Paka,MY,4.6374,103.4368,76.93,83,97,4.61,overcast clouds
267,Lazaro Cardenas,MX,17.9583,-102.2,81.95,47,90,2.68,overcast clouds
268,Havelock,US,34.8791,-76.9013,73.38,77,100,9.22,overcast clouds
269,Ranong,TH,9.9658,98.6348,71.85,91,76,5.12,broken clouds
270,Kapit,MY,2.0167,112.9333,71.26,97,100,0.96,overcast clouds
271,Itaituba,BR,-4.2761,-55.9836,89.76,66,40,5.75,scattered clouds
272,Ekhabi,RU,53.5102,142.9671,-10.64,99,41,7.18,scattered clouds
273,Nampula,MZ,-15.1165,39.2666,71.55,94,100,4.61,thunderstorm with light rain
274,Lakes Entrance,AU,-37.8811,147.981,64.17,90,99,3.85,overcast clouds
275,Ozubulu,NG,5.9567,6.849,88.88,18,62,4.12,broken clouds
276,Potiskum,NG,11.7091,11.0694,71.87,18,47,8.72,scattered clouds
277,Fengzhen,CN,40.4394,113.1536,12.11,48,0,3.42,clear sky
278,Zinapecuaro,MX,19.8667,-100.8167,61.92,55,100,2.86,overcast clouds
279,Sawtell,AU,-30.3833,153.1,66.22,94,100,5.75,overcast clouds
280,Lamar,US,33.6668,-95.5836,60.89,56,0,5.75,clear sky
281,Khonsa,IN,27.0167,95.5667,48.9,69,6,4.52,clear sky
282,Kloulklubed,PW,7.0419,134.2556,75.7,76,100,9.6,overcast clouds
283,Piranshahr,IR,36.701,45.1413,32.2,84,6,3.53,clear sky
284,Domoni,KM,-12.2569,44.5319,79.03,77,96,2.93,overcast clouds
285,Henties Bay,NA,-22.116,14.2845,66.96,77,7,3.51,clear sky
286,Green River,US,41.5286,-109.4662,23.4,86,82,4.29,broken clouds
287,Sola,VU,-13.8833,167.55,82.89,74,86,18.97,overcast clouds
288,Bahia Blanca,AR,-38.7196,-62.2724,82.29,45,8,1.99,clear sky
289,Olafsvik,IS,64.8945,-23.7142,22.62,55,100,8.39,overcast clouds
290,Pasighat,IN,28.0667,95.3333,58.23,56,45,2.73,scattered clouds
291,Cidreira,BR,-30.1811,-50.2056,75.24,63,0,15.08,clear sky
292,Ukiah,US,39.1502,-123.2078,58.15,97,100,3.44,moderate rain
293,Kaya,BF,13.0917,-1.0844,82.71,12,21,13.0,few clouds
294,Bandarbeyla,SO,9.4942,50.8122,76.89,84,91,21.7,light rain
295,Baripada,IN,21.935,86.7214,64.24,37,2,2.15,clear sky
296,Yar-Sale,RU,66.8333,70.8333,-24.18,100,38,5.88,scattered clouds
297,Bubaque,GW,11.2833,-15.8333,79.97,63,100,8.9,overcast clouds
298,Bose,IT,45.4612,8.0137,44.2,81,81,3.11,broken clouds
299,Tiarei,PF,-17.5333,-149.3333,80.62,77,26,13.4,light rain
300,Opunake,NZ,-39.4556,173.8583,60.85,73,91,20.07,overcast clouds
301,Dubbo,AU,-32.25,148.6167,66.33,72,13,16.11,few clouds
302,Ripky,UA,51.801,31.0838,36.61,97,100,9.89,light rain
303,Wadi Maliz,TN,36.4681,8.5495,56.86,46,67,1.28,broken clouds
304,Beringovskiy,RU,63.05,179.3167,-9.45,91,100,16.33,overcast clouds
305,College,US,64.8569,-147.8028,-0.45,81,75,4.61,broken clouds
306,San Pedro,PH,14.35,121.0167,78.03,82,20,4.61,few clouds
307,Surgut,RU,61.25,73.4167,-32.62,75,0,2.24,clear sky
308,Kang,BW,-23.6752,22.7876,79.5,42,43,6.46,scattered clouds
309,Shitanjing,CN,39.2342,106.3439,17.46,34,10,4.14,clear sky
310,Paamiut,GL,61.994,-49.6678,11.41,76,4,13.71,clear sky
311,Saldanha,ZA,-33.0117,17.9442,66.97,70,0,16.93,clear sky
312,Katsuura,JP,35.1333,140.3,45.68,54,57,10.54,broken clouds
313,Cairns,AU,-16.9167,145.7667,75.07,94,100,1.14,light intensity shower rain
314,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.95,78,82,6.17,broken clouds
315,Yulara,AU,-25.2406,130.9889,81.55,37,89,15.79,overcast clouds
316,Wheeling,US,42.1392,-87.929,39.92,81,40,10.36,scattered clouds
317,Bam,IR,29.106,58.357,48.33,39,98,2.62,overcast clouds
318,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,20,0.0,few clouds
319,Bilma,NE,18.6853,12.9164,66.16,18,0,7.74,clear sky
320,Wajima,JP,37.4,136.9,42.64,74,99,9.44,light rain
321,Bacolod,PH,10.6667,122.95,77.49,87,91,6.35,overcast clouds
322,Ardesen,TR,41.1911,40.9875,51.53,49,2,3.96,clear sky
323,Walvis Bay,NA,-22.9575,14.5053,67.08,77,13,8.9,few clouds
324,Vila,PT,42.0304,-8.1588,50.88,95,100,11.97,light rain
325,Sebu,PH,6.22,124.6936,68.31,91,55,0.6,broken clouds
326,Montgomery,US,39.1501,-77.1997,59.22,54,0,8.05,clear sky
327,Te Anau,NZ,-45.4167,167.7167,42.67,95,28,1.66,scattered clouds
328,Birao,CF,10.2849,22.7882,76.15,26,2,5.97,clear sky
329,Saint George,US,37.1041,-113.5841,40.78,85,100,0.0,overcast clouds
330,Boguchany,RU,58.3814,97.4531,-34.55,100,26,2.68,scattered clouds
331,Aklavik,CA,68.2191,-135.0107,-4.0,84,100,2.3,light snow
332,Sao Felix Do Xingu,BR,-6.6447,-51.995,78.22,94,94,3.6,overcast clouds
333,Berbera,SO,10.4396,45.0143,77.4,78,15,15.68,few clouds
334,San Patricio,US,28.017,-97.5169,69.17,74,100,11.81,overcast clouds
335,Weihe,CN,32.9952,105.3247,31.77,82,90,1.86,overcast clouds
336,Ashland,US,40.8167,-82.2665,58.03,79,100,15.57,overcast clouds
