,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Sao Felix Do Xingu,BR,78.22,overcast clouds,-6.6447,-51.995,Hotel Terraço
333,Berbera,SO,77.4,few clouds,10.4396,45.0143,Al Madina Hotel
338,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
339,Lorengau,PG,79.27,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
346,Carupano,VE,81.55,light rain,10.6678,-63.2585,Hotel El Yunque
347,Grand Baie,MU,77.47,overcast clouds,-20.0182,57.5802,Safari
357,Isiro,CD,72.61,overcast clouds,2.7739,27.616,Hôtel Magbetu
359,Omboue,GA,80.49,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
361,Sechura,PE,81.09,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
365,Lima,PE,71.85,few clouds,-12.0432,-77.0282,Hotel Peach Garden
366,Santarem,BR,86.13,scattered clouds,-2.4431,-54.7083,Prático Hotel
368,Jertih,MY,72.52,overcast clouds,5.7336,102.4897,Hotel Rahima
371,Wiwili,NI,76.17,broken clouds,13.6268,-85.8254,Hotel Victoria
372,Mahina,PF,80.37,light rain,-17.5065,-149.489,Motu Martin
373,Huarmey,PE,75.06,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
377,Buchanan,LR,82.9,broken clouds,5.8808,-10.0467,Phillipmena's Guesthouse
379,Matadi,CD,79.03,moderate rain,-5.8167,13.45,Hôtel Métroplole
381,Camana,PE,71.87,overcast clouds,-16.6228,-72.7111,Caja Arequipa
384,Trelew,AR,79.07,clear sky,-43.249,-65.3051,Patagonia Suites & Apart
386,Muisne,EC,78.87,overcast clouds,0.6,-80.0333,Hostal Té de Menta
387,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Central Hôtel
394,Dwarka,IN,72.48,clear sky,22.2394,68.9678,The Dwarika Hotel
396,Luganville,VU,77.76,overcast clouds,-15.5333,167.1667,Beachfront Resort
400,Vinh Long,VN,73.38,overcast clouds,10.25,105.9667,Khách Sạn Ngũ Long
404,Pemba,MZ,83.1,broken clouds,-12.974,40.5178,Hotel Rafael
412,Veraval,IN,72.09,clear sky,20.9,70.3667,Shyam
421,Tahoua,NE,78.78,clear sky,14.8888,5.2692,Hotel Bungalow
422,Aldama,MX,73.36,overcast clouds,22.9167,-98.0667,Presas del rey
423,Nicoya,CR,86.22,clear sky,10.1483,-85.452,Hotel marianela
430,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Posada San Jose
431,Paita,PE,76.5,few clouds,-5.0892,-81.1144,Victor's
433,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
437,Sorong,ID,76.84,light rain,-0.8833,131.25,Hotel Membramo Marina
438,Porto Seguro,BR,84.72,broken clouds,-16.4497,-39.0647,Terra Mater Hotel
440,Panama City,PA,89.55,scattered clouds,8.9936,-79.5197,Hostal Familiar Carmencita
446,Dakar,SN,81.48,clear sky,14.6937,-17.4441,翁记小吃
447,Acajutla,SV,83.7,broken clouds,13.5928,-89.8275,Hotel Lara
456,Namatanai,PG,78.78,overcast clouds,-3.6667,152.4333,Namatanai Hotel
459,Gorontalo,ID,75.52,light rain,0.5412,123.0595,Grand City Hotel
460,San Matias,BO,85.53,broken clouds,-16.3667,-58.4,Hotel San Jose
466,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
473,Galveston,US,70.0,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
476,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Hotel de Inhambane
477,Broken Hill,AU,76.06,clear sky,-31.95,141.4333,Ibis Styles
482,Sokoni,TZ,82.26,overcast clouds,-6.4333,39.55,La Madrugada Beach Hotel
484,Altamira,BR,84.29,thunderstorm,-3.2033,-52.2064,Hotel Vale do Xingu
489,Ampanihy,MG,79.05,few clouds,-24.7,44.75,Hotel restaurant Angora
491,Vao,NC,76.77,overcast clouds,-22.6667,167.4833,Nataiwatch
492,Tual,ID,84.06,overcast clouds,-5.6667,132.75,Suita
494,Pamekasan,ID,76.66,light rain,-7.1568,113.4746,Hotel Ramayana
495,Maragogi,BR,83.28,few clouds,-9.0122,-35.2225,Pousada Mariluz
496,Grand-Lahou,CI,83.07,broken clouds,5.1367,-5.0242,Cap Lahou
501,Touros,BR,85.53,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
507,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,Hotel del Valle
508,Bintulu,MY,75.61,few clouds,3.1667,113.0333,Bakun Inn
513,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Aurora Alice Springs
518,Kalmunai,LK,76.32,overcast clouds,7.4167,81.8167,Saji new food
526,Meulaboh,ID,76.95,overcast clouds,4.1363,96.1285,Hotel Meuligou
533,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Hotel Prainha
537,Kupang,ID,82.98,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
541,Mareeba,AU,70.45,light rain,-17.0,145.4333,The Gateway Hotel
554,Bathsheba,BB,81.21,light rain,13.2167,-59.5167,Atlantis Hotel
555,Brazzaville,CG,78.89,overcast clouds,-4.2658,15.2832,BLISS HOTEL
557,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
